# t ax ay az trailx traily trailz
0.002500 -119.400002 0.353383 0.353383 -130.944946 -6.658839 -3.326688
0.005000 -118.800003 0.706565 0.706565 -130.352448 -6.289995 -2.979771
0.007500 -118.200005 1.059371 1.059371 -129.762009 -5.917490 -2.634341
0.010000 -117.599998 1.411625 1.411625 -129.173569 -5.541573 -2.290475
0.012500 -117.000000 1.763001 1.763001 -128.587524 -5.163793 -1.944959
0.015000 -116.400009 2.113424 2.113424 -128.003510 -4.784102 -1.599098
0.017500 -115.800003 2.462722 2.462722 -127.421486 -4.402742 -1.252988
0.020000 -115.199997 2.810720 2.810720 -126.841476 -4.019789 -0.906817
0.022500 -114.600006 3.156970 3.156970 -126.263847 -3.635168 -0.560786
0.025000 -114.000000 3.501524 3.501524 -125.688141 -3.249442 -0.214898
0.027500 -113.399994 3.844213 3.844213 -125.114441 -2.862606 0.130681
0.030000 -112.800003 4.184865 4.184865 -124.542717 -2.474825 0.475810
0.032500 -112.200005 4.522917 4.522917 -123.973251 -2.086277 0.820326
0.035000 -111.600006 4.858545 4.858545 -123.405716 -1.697127 1.164188
0.037500 -111.000000 5.191584 5.191584 -122.840050 -1.307657 1.507424
0.040000 -110.400002 5.521868 5.521868 -122.276283 -0.917867 1.849859
0.042500 -109.800003 5.848719 5.848719 -121.714691 -0.528008 2.191182
0.045000 -109.199997 6.172441 6.172441 -121.154861 -0.138324 2.531654
0.047500 -108.599998 6.492875 6.492875 -120.596863 0.251232 2.871120
0.050000 -108.000000 6.809859 6.809859 -120.040588 0.640385 3.209622
0.052500 -107.399994 7.122608 7.122608 -119.486290 1.028815 3.546707
0.055000 -106.799995 7.431551 7.431551 -118.933670 1.416588 3.882715
0.057500 -106.199997 7.736533 7.736533 -118.382607 1.803468 4.217631
0.060000 -105.599991 8.037403 8.037403 -117.833107 2.189396 4.551482
0.062500 -105.000000 8.333275 8.333275 -117.285339 2.573844 4.883742
0.065000 -104.399994 8.624697 8.624697 -116.738953 2.956946 5.214902
0.067500 -103.800003 8.911520 8.911520 -116.193901 3.338609 5.544942
0.070000 -103.199997 9.193605 9.193605 -115.650055 3.718570 5.873952
0.072500 -102.599998 9.469975 9.469975 -115.107605 4.096359 6.201343
0.075000 -102.000000 9.741288 9.741288 -114.566177 4.472126 6.527719
0.077500 -101.400002 10.007408 10.007408 -114.025650 4.845720 6.853069
0.080000 -100.800003 10.268207 10.268207 -113.485939 5.217038 7.177459
0.082500 -100.199997 10.522618 10.522618 -112.947083 5.585238 7.500357
0.085000 -99.600006 10.771416 10.771416 -112.408791 5.950849 7.822330
0.087500 -99.000008 11.014470 11.014470 -111.870842 6.313513 8.143486
0.090000 -98.400002 11.251664 11.251664 -111.333092 6.673093 8.463867
0.092500 -97.800003 11.481863 11.481863 -110.795578 7.028798 8.782762
0.095000 -97.200012 11.705935 11.705935 -110.257935 7.381061 9.100933
0.097500 -96.600006 11.923767 11.923767 -109.719917 7.729589 9.418411
0.100000 -96.000000 12.135252 12.135252 -109.181366 8.074291 9.735224
0.102500 -95.400009 12.339192 12.339192 -108.642235 8.414181 10.050568
0.105000 -94.800011 12.536551 12.536551 -108.102097 8.749741 10.365244
0.107500 -94.200012 12.727228 12.727228 -107.560745 9.080814 10.679214
0.110000 -93.600006 12.911127 12.911127 -107.017937 9.407170 10.992453
