# t mx my mz trailx traily trailz
0.002500 -109.350006 0.235615 -0.353015 -113.558105 -1.467643 1.742414
0.005000 -108.699997 0.471208 -0.704224 -112.923042 -1.231583 1.361295
0.007500 -108.050003 0.706761 -1.052057 -112.291801 -0.995431 0.975176
0.010000 -107.400002 0.942255 -1.394956 -111.664146 -0.759209 0.585473
0.012500 -106.750000 1.177655 -1.730053 -111.040398 -0.522936 0.193611
0.015000 -106.100006 1.412953 -2.056749 -110.419617 -0.286625 -0.198684
0.017500 -105.449997 1.648131 -2.373583 -109.801361 -0.050321 -0.590086
0.020000 -104.800003 1.883170 -2.679134 -109.185234 0.185989 -0.979337
0.022500 -104.150009 2.118021 -2.969703 -108.571091 0.422255 -1.363963
0.025000 -103.500000 2.352691 -3.245942 -107.957809 0.658457 -1.743444
0.027500 -102.850006 2.587160 -3.506615 -107.344765 0.894604 -2.116507
0.030000 -102.199997 2.821409 -3.750555 -106.731178 1.130647 -2.481807
0.032500 -101.550003 3.055378 -3.973521 -106.116547 1.366562 -2.835710
0.035000 -100.900009 3.289085 -4.177366 -105.499733 1.602352 -3.178636
0.037500 -100.250000 3.522512 -4.361179 -104.879929 1.837978 -3.509060
0.040000 -99.599998 3.755640 -4.524135 -104.256386 2.073437 -3.825397
0.042500 -98.949997 3.988394 -4.661793 -103.628456 2.308683 -4.122728
0.045000 -98.300003 4.220807 -4.777055 -102.995407 2.543702 -4.402206
0.047500 -97.649994 4.452859 -4.869411 -102.356750 2.778495 -4.662094
0.050000 -97.000008 4.684534 -4.938442 -101.712189 3.013041 -4.900639
0.052500 -96.349991 4.915742 -4.979857 -101.061539 3.247257 -5.112073
0.055000 -95.699997 5.146530 -4.997385 -100.404884 3.481200 -5.298582
0.057500 -95.049995 5.376879 -4.990948 -99.742409 3.714826 -5.458710
0.060000 -94.400002 5.606771 -4.960574 -99.074532 3.948123 -5.591184
0.062500 -93.750008 5.836103 -4.902459 -98.401871 4.181012 -5.690419
0.065000 -93.099998 6.064939 -4.820859 -97.725014 4.413525 -5.760043
0.067500 -92.449997 6.293255 -4.716142 -97.044739 4.645653 -5.799549
0.070000 -91.800003 6.521038 -4.588773 -96.361824 4.877380 -5.808690
0.072500 -91.150002 6.748171 -4.435743 -95.677345 5.108596 -5.782952
0.075000 -90.500000 6.974728 -4.261498 -94.991905 5.339375 -5.727241
0.077500 -89.850006 7.200689 -4.066815 -94.306267 5.569678 -5.642104
0.080000 -89.199997 7.426039 -3.852566 -93.621124 5.799502 -5.528284
0.082500 -88.550003 7.650650 -3.616775 -92.937637 6.028737 -5.382579
0.085000 -87.900009 7.874606 -3.363719 -92.255966 6.257446 -5.210454
0.087500 -87.250008 8.097890 -3.094533 -91.576599 6.485606 -5.013158
0.090000 -86.599998 8.320487 -2.810419 -90.899994 6.713215 -4.792012
0.092500 -85.950005 8.542255 -2.510590 -90.227165 6.940142 -4.545076
0.095000 -85.300003 8.763295 -2.198820 -89.557816 7.166467 -4.277565
0.097500 -84.650009 8.983586 -1.876505 -88.892220 7.392182 -3.991004
0.100000 -84.000008 9.203113 -1.545089 -88.230530 7.617246 -3.686979
0.102500 -83.350006 9.421723 -1.205032 -87.573631 7.841550 -3.364665
0.105000 -82.700012 9.639530 -0.859307 -86.920944 8.065183 -3.028451
0.107500 -82.050011 9.856514 -0.509460 -86.272476 8.288109 -2.679915
0.110000 -81.400009 10.072659 -0.157058 -85.628273 8.510331 -2.320595
