# time(s) ax ay az trailx traily trailz
# --- reset ---
0.100 -117.600 1.412 1.412 -129.174 -5.540 -2.292
0.200 -115.200 2.811 2.811 -126.842 -4.019 -0.907
0.300 -112.800 4.185 4.185 -124.543 -2.475 0.477
0.400 -110.400 5.522 5.522 -122.276 -0.918 1.850
0.500 -108.000 6.810 6.810 -120.042 0.644 3.209
0.600 -105.600 8.037 8.037 -117.831 2.182 4.555
0.700 -103.200 9.194 9.194 -115.652 3.725 5.870
0.800 -100.800 10.268 10.268 -113.485 5.212 7.180
0.900 -98.400 11.252 11.252 -111.335 6.679 8.462
1.000 -96.000 12.135 12.135 -109.181 8.072 9.737
1.100 -93.600 12.911 12.911 -107.018 9.409 10.992
1.200 -91.200 13.572 13.572 -104.827 10.656 12.233
1.300 -88.800 14.113 14.113 -102.593 11.809 13.447
1.400 -86.400 14.529 14.529 -100.300 12.861 14.628
1.500 -84.000 14.815 14.815 -97.932 13.786 15.738
1.600 -81.600 14.970 14.970 -95.481 14.586 16.749
1.700 -79.200 14.993 14.993 -92.944 15.262 17.643
1.800 -76.800 14.882 14.882 -90.328 15.807 18.364
1.900 -74.400 14.639 14.639 -87.645 16.217 18.892
2.000 -72.000 14.266 14.266 -84.909 16.489 19.207
2.100 -69.600 13.766 13.766 -82.146 16.621 19.284
2.200 -67.200 13.145 13.145 -79.361 16.598 19.161
2.300 -64.800 12.406 12.406 -76.586 16.438 18.797
2.400 -62.400 11.558 11.558 -73.821 16.112 18.254
2.500 -60.000 10.607 10.607 -71.079 15.643 17.528
2.600 -57.600 9.561 9.561 -68.376 15.032 16.628
2.700 -55.200 8.431 8.431 -65.706 14.273 15.607
2.800 -52.800 7.226 7.226 -63.078 13.392 14.461
2.900 -50.400 5.957 5.957 -60.490 12.392 13.222
3.000 -48.000 4.635 4.635 -57.946 11.289 11.901
3.100 -45.600 3.272 3.272 -55.445 10.095 10.519
3.200 -43.200 1.880 1.880 -52.986 8.822 9.094
3.300 -40.800 0.471 0.471 -50.573 7.487 7.632
3.400 -38.400 -0.942 -0.942 -48.200 6.098 6.157
3.500 -36.000 -2.347 -2.347 -45.877 4.673 4.665
3.600 -33.600 -3.730 -3.730 -43.588 3.215 3.198
3.700 -31.200 -5.081 -5.081 -41.347 1.750 1.729
3.800 -28.800 -6.387 -6.387 -39.149 0.275 0.285
3.900 -26.400 -7.636 -7.636 -36.992 -1.197 -1.129
4.000 -24.000 -8.817 -8.817 -34.873 -2.658 -2.505
4.100 -21.600 -9.920 -9.920 -32.791 -4.099 -3.847
4.200 -19.200 -10.935 -10.935 -30.742 -5.517 -5.154
4.300 -16.800 -11.852 -11.852 -28.708 -6.908 -6.396
4.400 -14.400 -12.665 -12.665 -26.691 -8.257 -7.615
4.500 -12.000 -13.365 -13.365 -24.667 -9.573 -8.765
4.600 -9.600 -13.947 -13.947 -22.629 -10.839 -9.873
4.700 -7.200 -14.404 -14.404 -20.546 -12.049 -10.891
4.800 -4.800 -14.734 -14.734 -18.409 -13.183 -11.837
4.900 -2.400 -14.933 -14.933 -16.199 -14.227 -12.675
5.000 -0.000 -15.000 -15.000 -13.907 -15.162 -13.400
5.100 2.400 -14.933 -14.933 -11.530 -15.956 -13.978
