# time(s) mx my mz trailx traily trailz
# --- reset ---
0.100 -107.400 0.942 -0.471 -112.036 -0.760 0.310
0.200 -104.800 1.883 -0.937 -109.440 0.186 -0.168
0.300 -102.200 2.821 -1.395 -106.845 1.129 -0.645
0.400 -99.600 3.756 -1.841 -104.253 2.074 -1.118
0.500 -97.000 4.685 -2.270 -101.662 3.014 -1.579
0.600 -94.400 5.607 -2.679 -99.071 3.949 -2.025
0.700 -91.800 6.521 -3.065 -96.483 4.877 -2.456
0.800 -89.200 7.426 -3.423 -93.895 5.800 -2.863
0.900 -86.600 8.320 -3.751 -91.308 6.712 -3.247
1.000 -84.000 9.203 -4.045 -88.721 7.616 -3.599
1.100 -81.400 10.073 -4.304 -86.134 8.511 -3.923
1.200 -78.800 10.928 -4.524 -83.548 9.391 -4.211
1.300 -76.200 11.768 -4.704 -80.961 10.259 -4.461
1.400 -73.600 12.591 -4.843 -78.373 11.112 -4.676
1.500 -71.000 13.396 -4.938 -75.785 11.949 -4.846
1.600 -68.400 14.182 -4.990 -73.196 12.769 -4.976
1.700 -65.800 14.948 -4.998 -70.607 13.572 -5.064
1.800 -63.200 15.692 -4.961 -68.015 14.352 -5.106
1.900 -60.600 16.415 -4.880 -65.423 15.117 -5.104
2.000 -58.000 17.114 -4.755 -62.831 15.859 -5.054
2.100 -55.400 17.788 -4.589 -60.236 16.575 -4.963
2.200 -52.800 18.438 -4.382 -57.642 17.273 -4.829
2.300 -50.200 19.061 -4.135 -55.047 17.944 -4.647
2.400 -47.600 19.657 -3.853 -52.451 18.590 -4.431
2.500 -45.000 20.225 -3.536 -49.854 19.208 -4.174
2.600 -42.400 20.765 -3.187 -47.258 19.803 -3.878
2.700 -39.800 21.275 -2.810 -44.661 20.367 -3.547
2.800 -37.200 21.755 -2.409 -42.065 20.906 -3.189
2.900 -34.600 22.203 -1.986 -39.469 21.409 -2.801
3.000 -32.000 22.621 -1.545 -36.874 21.889 -2.387
3.100 -29.400 23.006 -1.091 -34.279 22.335 -1.954
3.200 -26.800 23.358 -0.627 -31.685 22.749 -1.503
3.300 -24.200 23.677 -0.157 -29.091 23.130 -1.038
3.400 -21.600 23.963 0.314 -26.499 23.481 -0.564
3.500 -19.000 24.215 0.782 -23.907 23.799 -0.085
3.600 -16.400 24.432 1.243 -21.315 24.083 0.393
3.700 -13.800 24.614 1.694 -18.724 24.330 0.872
3.800 -11.200 24.762 2.129 -16.133 24.547 1.340
3.900 -8.600 24.874 2.545 -13.541 24.726 1.797
4.000 -6.000 24.951 2.939 -10.950 24.872 2.238
4.100 -3.400 24.992 3.307 -8.358 24.980 2.662
4.200 -0.800 24.998 3.645 -5.765 25.056 3.061
4.300 1.800 24.968 3.951 -3.172 25.093 3.433
4.400 4.400 24.903 4.222 -0.576 25.095 3.776
4.500 7.000 24.803 4.455 2.021 25.064 4.084
4.600 9.600 24.667 4.649 4.619 24.995 4.358
4.700 12.200 24.496 4.801 7.220 24.889 4.591
4.800 14.800 24.291 4.911 9.823 24.751 4.783
4.900 17.400 24.051 4.978 12.428 24.577 4.936
5.000 20.000 23.776 5.000 15.035 24.364 5.042
5.100 22.600 23.468 4.978 17.644 24.118 5.105
5.200 25.200 23.127 4.911 20.255 23.839 5.118
5.300 27.800 22.753 4.801 22.868 23.526 5.086
5.400 30.400 22.346 4.649 25.483 23.177 5.011
5.500 33.000 21.908 4.455 28.099 22.797 4.887
5.600 35.600 21.438 4.222 30.715 22.382 4.722
5.700 38.200 20.938 3.951 33.333 21.937 4.512
5.800 40.800 20.408 3.645 35.950 21.457 4.261
5.900 43.400 19.850 3.307 38.568 20.951 3.974
6.000 46.000 19.263 2.939 41.186 20.412 3.649
6.100 48.600 18.649 2.545 43.803 19.846 3.290
6.200 51.200 18.008 2.129 46.419 19.250 2.904
6.300 53.800 17.341 1.694 49.034 18.625 2.493
6.400 56.400 16.650 1.243 51.647 17.974 2.056
6.500 59.000 15.936 0.782 54.260 17.301 1.603
6.600 61.600 15.198 0.314 56.871 16.599 1.136
6.700 64.200 14.439 -0.157 59.480 15.874 0.660
6.800 66.800 13.660 -0.627 62.089 15.129 0.177
6.900 69.400 12.861 -1.091 64.695 14.360 -0.307
7.000 72.000 12.044 -1.545 67.300 13.571 -0.786
7.100 74.600 11.210 -1.986 69.904 12.765 -1.260
7.200 77.200 10.359 -2.409 72.506 11.937 -1.722
7.300 79.800 9.494 -2.810 75.107 11.094 -2.165
7.400 82.400 8.616 -3.187 77.708 10.237 -2.591
7.500 85.000 7.725 -3.536 80.307 9.362 -2.995
7.600 87.600 6.824 -3.853 82.906 8.479 -3.373
7.700 90.200 5.912 -4.135 85.504 7.578 -3.714
7.800 92.800 4.993 -4.382 88.103 6.672 -4.030
7.900 95.400 4.066 -4.589 90.702 5.755 -4.307
8.000 98.000 3.133 -4.755 93.301 4.828 -4.542
8.100 100.600 2.196 -4.880 95.900 3.896 -4.742
8.200 103.200 1.256 -4.961 98.499 2.959 -4.898
8.300 105.800 0.314 -4.998 101.099 2.017 -5.012
8.400 108.400 -0.628 -4.990 103.700 1.075 -5.078
8.500 111.000 -1.570 -4.938 106.300 0.128 -5.100
8.600 113.600 -2.509 -4.843 108.901 -0.815 -5.079
8.700 116.200 -3.445 -4.704 111.503 -1.759 -5.010
8.800 118.800 -4.376 -4.524 114.104 -2.702 -4.898
8.900 121.400 -5.300 -4.304 116.705 -3.637 -4.745
9.000 124.000 -6.217 -4.045 119.306 -4.568 -4.546
9.100 126.600 -7.125 -3.751 121.908 -5.491 -4.310
9.200 129.200 -8.024 -3.423 124.507 -6.411 -4.035
9.300 131.800 -8.910 -3.065 127.107 -7.317 -3.725
9.400 134.400 -9.784 -2.679 129.705 -8.214 -3.380
9.500 137.000 -10.644 -2.270 132.303 -9.097 -3.007
9.600 139.600 -11.490 -1.841 134.898 -9.973 -2.610
9.700 142.200 -12.318 -1.395 137.493 -10.829 -2.187
9.800 144.800 -13.129 -0.937 140.086 -11.670 -1.745
9.900 147.400 -13.922 -0.471 142.678 -12.497 -1.291
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
10.000 150.000 -14.695 0.000 145.000 -14.695 0.000
