# time(s) ax ay az mx my mz
0.000 -120.000 0.000 0.000 -110.000 0.000 -0.000
0.100 -117.600 1.412 1.412 -107.400 0.942 -0.471
0.200 -115.200 2.811 2.811 -104.800 1.883 -0.937
0.300 -112.800 4.185 4.185 -102.200 2.821 -1.395
0.400 -110.400 5.522 5.522 -99.600 3.756 -1.841
0.500 -108.000 6.810 6.810 -97.000 4.685 -2.270
0.600 -105.600 8.037 8.037 -94.400 5.607 -2.679
0.700 -103.200 9.194 9.194 -91.800 6.521 -3.065
0.800 -100.800 10.268 10.268 -89.200 7.426 -3.423
0.900 -98.400 11.252 11.252 -86.600 8.320 -3.751
1.000 -96.000 12.135 12.135 -84.000 9.203 -4.045
1.100 -93.600 12.911 12.911 -81.400 10.073 -4.304
1.200 -91.200 13.572 13.572 -78.800 10.928 -4.524
1.300 -88.800 14.113 14.113 -76.200 11.768 -4.704
1.400 -86.400 14.529 14.529 -73.600 12.591 -4.843
1.500 -84.000 14.815 14.815 -71.000 13.396 -4.938
1.600 -81.600 14.970 14.970 -68.400 14.182 -4.990
1.700 -79.200 14.993 14.993 -65.800 14.948 -4.998
1.800 -76.800 14.882 14.882 -63.200 15.692 -4.961
1.900 -74.400 14.639 14.639 -60.600 16.415 -4.880
2.000 -72.000 14.266 14.266 -58.000 17.114 -4.755
2.100 -69.600 13.766 13.766 -55.400 17.788 -4.589
2.200 -67.200 13.145 13.145 -52.800 18.438 -4.382
2.300 -64.800 12.406 12.406 -50.200 19.061 -4.135
2.400 -62.400 11.558 11.558 -47.600 19.657 -3.853
2.500 -60.000 10.607 10.607 -45.000 20.225 -3.536
2.600 -57.600 9.561 9.561 -42.400 20.765 -3.187
2.700 -55.200 8.431 8.431 -39.800 21.275 -2.810
2.800 -52.800 7.226 7.226 -37.200 21.755 -2.409
2.900 -50.400 5.957 5.957 -34.600 22.203 -1.986
3.000 -48.000 4.635 4.635 -32.000 22.621 -1.545
3.100 -45.600 3.272 3.272 -29.400 23.006 -1.091
3.200 -43.200 1.880 1.880 -26.800 23.358 -0.627
3.300 -40.800 0.471 0.471 -24.200 23.677 -0.157
3.400 -38.400 -0.942 -0.942 -21.600 23.963 0.314
3.500 -36.000 -2.347 -2.347 -19.000 24.215 0.782
3.600 -33.600 -3.730 -3.730 -16.400 24.432 1.243
3.700 -31.200 -5.081 -5.081 -13.800 24.614 1.694
3.800 -28.800 -6.387 -6.387 -11.200 24.762 2.129
3.900 -26.400 -7.636 -7.636 -8.600 24.874 2.545
4.000 -24.000 -8.817 -8.817 -6.000 24.951 2.939
4.100 -21.600 -9.920 -9.920 -3.400 24.992 3.307
4.200 -19.200 -10.935 -10.935 -0.800 24.998 3.645
4.300 -16.800 -11.852 -11.852 1.800 24.968 3.951
4.400 -14.400 -12.665 -12.665 4.400 24.903 4.222
4.500 -12.000 -13.365 -13.365 7.000 24.803 4.455
4.600 -9.600 -13.947 -13.947 9.600 24.667 4.649
4.700 -7.200 -14.404 -14.404 12.200 24.496 4.801
4.800 -4.800 -14.734 -14.734 14.800 24.291 4.911
4.900 -2.400 -14.933 -14.933 17.400 24.051 4.978
5.000 0.000 -15.000 -15.000 20.000 23.776 5.000
5.100 2.400 -14.933 -14.933 22.600 23.468 4.978
5.200 4.800 -14.734 -14.734 25.200 23.127 4.911
5.300 7.200 -14.404 -14.404 27.800 22.753 4.801
5.400 9.600 -13.947 -13.947 30.400 22.346 4.649
5.500 12.000 -13.365 -13.365 33.000 21.908 4.455
5.600 14.400 -12.665 -12.665 35.600 21.438 4.222
5.700 16.800 -11.852 -11.852 38.200 20.938 3.951
5.800 19.200 -10.935 -10.935 40.800 20.408 3.645
5.900 21.600 -9.920 -9.920 43.400 19.850 3.307
6.000 24.000 -8.817 -8.817 46.000 19.263 2.939
6.100 26.400 -7.636 -7.636 48.600 18.649 2.545
6.200 28.800 -6.387 -6.387 51.200 18.008 2.129
6.300 31.200 -5.081 -5.081 53.800 17.341 1.694
6.400 33.600 -3.730 -3.730 56.400 16.650 1.243
6.500 36.000 -2.347 -2.347 59.000 15.936 0.782
6.600 38.400 -0.942 -0.942 61.600 15.198 0.314
6.700 40.800 0.471 0.471 64.200 14.439 -0.157
6.800 43.200 1.880 1.880 66.800 13.660 -0.627
6.900 45.600 3.272 3.272 69.400 12.861 -1.091
7.000 48.000 4.635 4.635 72.000 12.044 -1.545
7.100 50.400 5.957 5.957 74.600 11.210 -1.986
7.200 52.800 7.226 7.226 77.200 10.359 -2.409
7.300 55.200 8.431 8.431 79.800 9.494 -2.810
7.400 57.600 9.561 9.561 82.400 8.616 -3.187
7.500 60.000 10.607 10.607 85.000 7.725 -3.536
7.600 62.400 11.558 11.558 87.600 6.824 -3.853
7.700 64.800 12.406 12.406 90.200 5.912 -4.135
7.800 67.200 13.145 13.145 92.800 4.993 -4.382
7.900 69.600 13.766 13.766 95.400 4.066 -4.589
8.000 72.000 14.266 14.266 98.000 3.133 -4.755
8.100 74.400 14.639 14.639 100.600 2.196 -4.880
8.200 76.800 14.882 14.882 103.200 1.256 -4.961
8.300 79.200 14.993 14.993 105.800 0.314 -4.998
8.400 81.600 14.970 14.970 108.400 -0.628 -4.990
8.500 84.000 14.815 14.815 111.000 -1.570 -4.938
8.600 86.400 14.529 14.529 113.600 -2.509 -4.843
8.700 88.800 14.113 14.113 116.200 -3.445 -4.704
8.800 91.200 13.572 13.572 118.800 -4.376 -4.524
8.900 93.600 12.911 12.911 121.400 -5.300 -4.304
9.000 96.000 12.135 12.135 124.000 -6.217 -4.045
9.100 98.400 11.252 11.252 126.600 -7.125 -3.751
9.200 100.800 10.268 10.268 129.200 -8.024 -3.423
9.300 103.200 9.194 9.194 131.800 -8.910 -3.065
9.400 105.600 8.037 8.037 134.400 -9.784 -2.679
