# time(s) ax ay az trailx traily trailz
0.017 -119.592 0.240 0.240 -131.136 -6.777 -3.433
0.034 -119.184 0.480 0.480 -130.734 -6.523 -3.199
0.051 -118.776 0.720 0.720 -130.333 -6.270 -2.966
0.068 -118.368 0.960 0.960 -129.930 -6.017 -2.732
0.085 -117.960 1.200 1.200 -129.529 -5.763 -2.498
0.102 -117.552 1.440 1.440 -129.127 -5.509 -2.264
0.119 -117.144 1.678 1.678 -128.731 -5.251 -2.029
0.136 -116.736 1.916 1.916 -128.334 -4.992 -1.794
0.153 -116.328 2.153 2.153 -127.938 -4.734 -1.558
0.170 -115.920 2.391 2.391 -127.541 -4.475 -1.322
0.187 -115.512 2.629 2.629 -127.145 -4.217 -1.087
0.204 -115.104 2.866 2.866 -126.750 -3.957 -0.851
0.221 -114.696 3.100 3.100 -126.359 -3.695 -0.616
0.238 -114.288 3.333 3.333 -125.968 -3.433 -0.381
0.255 -113.880 3.567 3.567 -125.577 -3.170 -0.146
0.272 -113.472 3.800 3.800 -125.186 -2.908 0.089
0.289 -113.064 4.034 4.034 -124.796 -2.645 0.324
0.306 -112.656 4.265 4.265 -124.407 -2.382 0.559
0.323 -112.248 4.493 4.493 -124.021 -2.117 0.792
0.340 -111.840 4.720 4.720 -123.636 -1.853 1.025
0.357 -111.432 4.947 4.947 -123.251 -1.588 1.258
0.374 -111.024 5.174 5.174 -122.866 -1.323 1.492
0.391 -110.616 5.402 5.402 -122.480 -1.058 1.726
0.408 -110.208 5.625 5.625 -122.098 -0.793 1.958
0.425 -109.800 5.844 5.844 -121.718 -0.528 2.188
0.442 -109.392 6.063 6.063 -121.338 -0.263 2.419
0.459 -108.984 6.282 6.282 -120.958 0.003 2.650
0.476 -108.576 6.501 6.501 -120.578 0.269 2.881
0.493 -108.168 6.720 6.720 -120.198 0.534 3.113
0.510 -107.760 6.933 6.933 -119.821 0.798 3.342
0.527 -107.352 7.141 7.141 -119.445 1.059 3.570
0.544 -106.944 7.350 7.350 -119.069 1.320 3.798
0.561 -106.536 7.558 7.558 -118.694 1.581 4.027
0.578 -106.128 7.767 7.767 -118.318 1.843 4.257
0.595 -105.720 7.976 7.976 -117.942 2.105 4.487
0.612 -105.312 8.176 8.176 -117.570 2.367 4.711
0.629 -104.904 8.373 8.373 -117.199 2.629 4.933
0.646 -104.496 8.569 8.569 -116.829 2.891 5.156
0.663 -104.088 8.766 8.766 -116.459 3.153 5.380
0.680 -103.680 8.963 8.963 -116.088 3.416 5.605
0.697 -103.272 9.159 9.159 -115.717 3.678 5.831
0.714 -102.864 9.344 9.344 -115.349 3.932 6.052
0.731 -102.456 9.527 9.527 -114.981 4.185 6.272
0.748 -102.048 9.710 9.710 -114.612 4.437 6.494
0.765 -101.640 9.892 9.892 -114.244 4.690 6.717
0.782 -101.232 10.075 10.075 -113.875 4.943 6.941
0.799 -100.824 10.257 10.257 -113.506 5.197 7.167
0.816 -100.416 10.425 10.425 -113.141 5.446 7.382
0.833 -100.008 10.593 10.593 -112.777 5.695 7.598
0.850 -99.600 10.760 10.760 -112.411 5.944 7.815
0.867 -99.192 10.927 10.927 -112.046 6.193 8.033
0.884 -98.784 11.095 11.095 -111.679 6.443 8.254
0.901 -98.376 11.261 11.261 -111.313 6.693 8.475
0.918 -97.968 11.411 11.411 -110.948 6.929 8.687
0.935 -97.560 11.561 11.561 -110.583 7.165 8.902
0.952 -97.152 11.711 11.711 -110.217 7.402 9.118
0.969 -96.744 11.861 11.861 -109.851 7.639 9.336
0.986 -96.336 12.011 12.011 -109.484 7.876 9.555
1.003 -95.928 12.158 12.158 -109.117 8.112 9.774
1.020 -95.520 12.290 12.290 -108.751 8.339 9.983
1.037 -95.112 12.422 12.422 -108.385 8.566 10.194
1.054 -94.704 12.554 12.554 -108.017 8.793 10.407
1.071 -94.296 12.686 12.686 -107.649 9.021 10.621
1.088 -93.888 12.818 12.818 -107.280 9.248 10.838
1.105 -93.480 12.944 12.944 -106.910 9.471 11.053
1.122 -93.072 13.056 13.056 -106.540 9.683 11.259
1.139 -92.664 13.169 13.169 -106.169 9.895 11.468
1.156 -92.256 13.281 13.281 -105.797 10.107 11.679
1.173 -91.848 13.394 13.394 -105.423 10.319 11.891
1.190 -91.440 13.506 13.506 -105.048 10.531 12.106
1.207 -91.032 13.610 13.610 -104.673 10.736 12.316
1.224 -90.624 13.702 13.702 -104.296 10.933 12.518
1.241 -90.216 13.794 13.794 -103.918 11.129 12.723
1.258 -89.808 13.886 13.886 -103.538 11.325 12.929
1.275 -89.400 13.978 13.978 -103.157 11.521 13.137
1.292 -88.992 14.070 14.070 -102.774 11.717 13.348
1.309 -88.584 14.150 14.150 -102.390 11.904 13.551
1.326 -88.176 14.221 14.221 -102.004 12.083 13.748
1.343 -87.768 14.292 14.292 -101.616 12.262 13.947
1.360 -87.360 14.363 14.363 -101.226 12.441 14.148
1.377 -86.952 14.433 14.433 -100.834 12.619 14.351
1.394 -86.544 14.504 14.504 -100.440 12.798 14.555
1.411 -86.136 14.560 14.560 -100.043 12.963 14.748
1.428 -85.728 14.609 14.609 -99.645 13.120 14.935
1.445 -85.320 14.658 14.658 -99.244 13.277 15.123
1.462 -84.912 14.706 14.706 -98.841 13.435 15.312
1.479 -84.504 14.755 14.755 -98.436 13.592 15.502
1.496 -84.096 14.804 14.804 -98.028 13.749 15.693
1.513 -83.688 14.835 14.835 -97.618 13.890 15.869
1.530 -83.280 14.861 14.861 -97.205 14.026 16.040
1.547 -82.872 14.888 14.888 -96.790 14.162 16.212
1.564 -82.464 14.914 14.914 -96.373 14.298 16.384
1.581 -82.056 14.941 14.941 -95.953 14.434 16.556
1.598 -81.648 14.967 14.967 -95.531 14.570 16.729
1.615 -81.240 14.973 14.973 -95.106 14.688 16.884
1.632 -80.832 14.977 14.977 -94.679 14.802 17.036
1.649 -80.424 14.981 14.981 -94.249 14.917 17.189
1.666 -80.016 14.985 14.985 -93.816 15.032 17.341
