# time(s) mx my mz trailx traily trailz
0.017 -109.558 0.160 -0.080 -114.193 -1.543 0.708
0.034 -109.116 0.320 -0.160 -113.751 -1.382 0.626
0.051 -108.674 0.480 -0.240 -113.309 -1.222 0.545
0.068 -108.232 0.641 -0.320 -112.868 -1.062 0.464
0.085 -107.790 0.801 -0.400 -112.426 -0.901 0.382
0.102 -107.348 0.961 -0.480 -111.984 -0.741 0.301
0.119 -106.906 1.121 -0.560 -111.543 -0.580 0.219
0.136 -106.464 1.281 -0.639 -111.102 -0.419 0.138
0.153 -106.022 1.441 -0.718 -110.660 -0.258 0.057
0.170 -105.580 1.601 -0.797 -110.219 -0.098 -0.025
0.187 -105.138 1.761 -0.876 -109.778 0.063 -0.106
0.204 -104.696 1.921 -0.955 -109.336 0.224 -0.187
0.221 -104.254 2.080 -1.033 -108.895 0.384 -0.268
0.238 -103.812 2.239 -1.111 -108.454 0.544 -0.349
0.255 -103.370 2.399 -1.189 -108.013 0.705 -0.431
0.272 -102.928 2.558 -1.267 -107.572 0.865 -0.512
0.289 -102.486 2.718 -1.345 -107.130 1.025 -0.593
0.306 -102.044 2.877 -1.422 -106.689 1.186 -0.674
0.323 -101.602 3.036 -1.498 -106.249 1.346 -0.754
0.340 -101.160 3.195 -1.573 -105.808 1.507 -0.834
0.357 -100.718 3.354 -1.649 -105.367 1.667 -0.915
0.374 -100.276 3.513 -1.725 -104.927 1.828 -0.995
0.391 -99.834 3.672 -1.801 -104.486 1.989 -1.076
0.408 -99.392 3.830 -1.875 -104.045 2.149 -1.155
0.425 -98.950 3.988 -1.948 -103.605 2.309 -1.233
0.442 -98.508 4.146 -2.021 -103.164 2.469 -1.312
0.459 -98.066 4.304 -2.094 -102.724 2.628 -1.390
0.476 -97.624 4.462 -2.167 -102.283 2.788 -1.468
0.493 -97.182 4.620 -2.240 -101.843 2.948 -1.547
0.510 -96.740 4.777 -2.311 -101.403 3.107 -1.623
0.527 -96.298 4.934 -2.380 -100.962 3.266 -1.699
0.544 -95.856 5.091 -2.450 -100.522 3.425 -1.775
0.561 -95.414 5.247 -2.519 -100.082 3.584 -1.851
0.578 -94.972 5.404 -2.589 -99.641 3.743 -1.927
0.595 -94.530 5.561 -2.659 -99.201 3.902 -2.002
0.612 -94.088 5.717 -2.725 -98.761 4.060 -2.076
0.629 -93.646 5.872 -2.791 -98.321 4.218 -2.150
0.646 -93.204 6.027 -2.857 -97.881 4.376 -2.223
0.663 -92.762 6.183 -2.922 -97.441 4.534 -2.296
0.680 -92.320 6.338 -2.988 -97.000 4.692 -2.370
0.697 -91.878 6.494 -3.053 -96.560 4.849 -2.443
0.714 -91.436 6.648 -3.115 -96.120 5.007 -2.513
0.731 -90.994 6.802 -3.176 -95.681 5.163 -2.582
0.748 -90.552 6.955 -3.237 -95.241 5.320 -2.651
0.765 -90.110 7.109 -3.298 -94.801 5.477 -2.720
0.782 -89.668 7.263 -3.359 -94.361 5.634 -2.790
0.799 -89.226 7.417 -3.419 -93.921 5.791 -2.859
0.816 -88.784 7.569 -3.475 -93.481 5.946 -2.924
0.833 -88.342 7.721 -3.531 -93.041 6.101 -2.990
0.850 -87.900 7.873 -3.587 -92.601 6.256 -3.055
0.867 -87.458 8.025 -3.643 -92.161 6.411 -3.120
0.884 -87.016 8.177 -3.699 -91.722 6.566 -3.185
0.901 -86.574 8.329 -3.754 -91.282 6.721 -3.250
0.918 -86.132 8.479 -3.804 -90.842 6.875 -3.310
0.935 -85.690 8.629 -3.854 -90.402 7.029 -3.370
0.952 -85.248 8.779 -3.904 -89.962 7.182 -3.430
0.969 -84.806 8.929 -3.954 -89.523 7.336 -3.490
0.986 -84.364 9.079 -4.004 -89.083 7.490 -3.550
